"word","max(y1951)","max(y1952)","max(y1953)","max(y1954)","max( y1955 )","max( y1956 )","max( y1957 )","max( y1958 )","max( y1959 )","max( y1960 )","max( y1961 )","max( y1962 )","max( y1963 )","max( y1964 )","max( y1965 )","max( y1966 )","max( y1967 )","max( y1968 )","max( y1969 )","max( y1970 )","max( y1971 )","max( y1972 )","max( y1973 )","max( y1974 )","max( y1975 )","max( y1976 )","max( y1977 )","max( y1978 )","max( y1979 )","max( y1980 )","max( y1981 )","max( y1982 )","max( y1983 )","max( y1984 )","max( y1985 )","max( y1986 )","max( y1987 )","max( y1988 )","max( y1989 )","max( y1990 )","max( y1991 )","max( y1992 )","max( y1993 )","max( y1994 )","max( y1995 )","max( y1996 )","max( y1997 )","max( y1998 )","max( y1999 )","max( y2000 )","max( y2001 )","max( y2002 )","max( y2003 )","max( y2004 )","max( y2005 )","max( y2006 )","max( y2007 )","max( y2008 )","max( y2009 )","max( y2010 )","max( y2011 )","max( y2012 )","max( y2013 )","max( y2014 )","max( y2015 )"
"'bouta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
"'bows",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'brain'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"'caine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"'case",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'cause",4,0,3,3,15,1,1,1,9,1,2,1,1,6,1,1,1,1,1,1,1,1,2,3,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,2,2,5,2,1,1,2,1,1,1,1,2,4,1,4
"'cedes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"'cept",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"'cha",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"'chelle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
